Discord ID,Post Count,Events Count,Total XP to Remove,Status
1321091471931215964,0,2,50,DRY RUN
1321064714662314039,0,2,50,DRY RUN
1321075872975028276,0,2,50,DRY RUN
1318699893321367614,0,2,50,DRY RUN
1317337933841432716,0,2,50,DRY RUN
1314549618343809064,0,2,50,DRY RUN
1317656411403980800,0,2,50,DRY RUN
1318792143581614132,0,2,50,DRY RUN
1321153127650557985,0,2,50,DRY RUN
1321093300597424190,0,2,50,DRY RUN
1317900817755406407,0,2,50,DRY RUN
1321118962758455319,0,2,50,DRY RUN
1312847729113825424,0,2,50,DRY RUN
1318794201844023392,0,2,50,DRY RUN
1318792107850334243,0,2,50,DRY RUN
1321170610520588291,0,2,50,DRY RUN
1317679930934427752,0,2,50,DRY RUN
1321053552633708544,0,2,50,DRY RUN
1321120328193146933,0,2,50,DRY RUN
1317364563339116649,0,2,50,DRY RUN
1318790220094767186,0,2,50,DRY RUN
1318690522822479910,0,2,50,DRY RUN
1318190725820846090,0,2,50,DRY RUN
1314606952382201962,0,2,50,DRY RUN
1313923470953938944,0,2,50,DRY RUN
1321065287130415105,0,2,50,DRY RUN
1312856067767664823,0,2,50,DRY RUN
1314126876960096256,0,2,50,DRY RUN
1318696252958969947,0,2,50,DRY RUN
1314085821112123494,0,2,50,DRY RUN
1318207132469952532,0,2,50,DRY RUN
1315965545774059552,0,2,50,DRY RUN
1312176783193411648,0,2,50,DRY RUN
1314478678863904829,0,2,50,DRY RUN
1318790085126389770,0,2,50,DRY RUN
1321075806415622221,0,2,50,DRY RUN
1317799017853485116,0,2,50,DRY RUN
1321210149142134794,0,2,50,DRY RUN
1318159836390887489,0,2,50,DRY RUN
1321220800019300434,0,2,50,DRY RUN
1321233755092029480,0,2,50,DRY RUN
1321176405773652000,0,2,50,DRY RUN
1312799355744288798,0,2,50,DRY RUN
1318184724556156988,0,2,50,DRY RUN
1321074781340176467,0,2,50,DRY RUN
1321063384287809607,0,2,50,DRY RUN
1321073992974602292,0,2,50,DRY RUN
1318687085246546056,0,2,50,DRY RUN
1317345852553035778,0,2,50,DRY RUN
1317790189791350824,0,2,50,DRY RUN
1321049925798068264,0,2,50,DRY RUN
1318166018606239756,0,2,50,DRY RUN
1318771972372562030,0,2,50,DRY RUN
1318163153917579295,0,2,50,DRY RUN
1317778167146090547,0,2,50,DRY RUN
1318165054708912179,0,2,50,DRY RUN
1321210670103924840,0,2,50,DRY RUN
1321159155892879500,0,2,50,DRY RUN
1318760004114845776,0,2,50,DRY RUN
1318692241170235476,0,2,50,DRY RUN
1321229037368119337,0,2,50,DRY RUN
1315945961943597137,0,2,50,DRY RUN
1321086228841369611,0,2,50,DRY RUN
1321215045916688539,0,2,50,DRY RUN
1321144989698228305,0,2,50,DRY RUN
1321049763436564521,0,2,50,DRY RUN
1321191839646089289,0,2,50,DRY RUN
1321192746110947431,0,2,50,DRY RUN
884091448071430205,1,2,50,DRY RUN
1120483726846075012,1,2,50,DRY RUN
1129494096780738571,2,2,50,DRY RUN
902520909053718578,2,2,50,DRY RUN
1105289795263008768,2,2,50,DRY RUN
1275628077270962203,0,1,50,DRY RUN
1231848314316652615,0,1,50,DRY RUN
1351944257111457803,0,1,50,DRY RUN
1386926009617616929,0,1,50,DRY RUN
